"shopid","shopname","shopcode","directshopid","shoptype","addresscode","areacode","mailaddress","telno","faxno","zipcode","address","addr_shortname","officehourname1","opentime1","closetime1","buyendtime1","officehourname2","opentime2","closetime2","buyendtime2","regholiday","spholiday","parking","webshopping","opendate","orderid","mastercom","pointcom","keido","ido","areagroup","recruitflg","display","pos_shopcode","ok_areacode","salary","url","is_near_station","is_held_campaign","b2id"
"1001","帯広柏林台店","hakurindai","1","1","1","1","bigban-hakurindai@okamoto-group.co.jp","0155-41-3196",\N,"0800028","帯広市西18条南2丁目11番地6","帯広市","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"50台","1","2021-04-01 00:00:00","0",\N,"","143.162613","42.919521","4","on","on","1001","4",\N,"https://www.bigban.jp/bb-hakurindai/","1","0",\N
"1002","帯広南町店","minamimachi","1","2","1","1","bigban-test2@okamoto-group.co.jp","0155-49-3196",\N,"0800028","帯広市西16条南33丁目1-1","帯広市","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"22台","1","2021-04-01 00:00:00","0",\N,"","143.179413","42.892578","4","on","on","1002","4",\N,"https://www.bigban.jp/fo-minamimachi/","1","0",\N
"1003","釧路星が浦店","hoshigaura","1","1","1","1","bigban-hoshigaura@okamoto-group.co.jp","0154-51-3196",\N,"0840912","釧路市星が浦大通2丁目5番10号","釧路市","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"40台","1","2021-04-01 00:00:00","0",\N,"","144.321152","43.014771","4","on","on","1003","4",\N,"https://www.bigban.jp/bb-hoshigaura/","1","0",\N
"1004","中標津店","nakashibetsu","1","1","1","1","bb-nakashibetsu@okamoto-group.co.jp","0153-79-3196",\N,"0861024","標津郡中標津町東24条南3丁目5番地","標津郡","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"10台","1","2021-04-01 00:00:00","0",\N,"","144.995056","43.559952","4","on","on","1004","4",\N,"https://www.bigban.jp/bb-nakashibetsu/","1","0",\N
"1009","札幌手稲店","teine","1","1","1","1","bigban-teine@okamoto-group.co.jp","011-686-9777",\N,"0060032","札幌市手稲区稲穂２条６丁目２−１","札幌市手稲区","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"35台","1","2021-04-01 00:00:00","0",\N,"","141.414948","43.046780","4","on","on","1009","4",\N,"https://www.bigban.jp/bb-teine/","1","0",\N
"1010","札幌白石店","shiroishi","1","1","1","1","bigban-shiroishi@okamoto-group.co.jp","011-846-3196",\N,"0030027","札幌白石区本通6丁目北6-23","札幌白石区","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"100台(地下駐車場70台)","1","2021-04-01 00:00:00","0",\N,"","141.415176","43.046711","4","on","on","1010","4",\N,"https://www.bigban.jp/bb-shiroishi/","1","0",\N
"1012","苫小牧桜木店","sakuragi","1","1","1","1","bigban-tomakomai@okamoto-group.co.jp","0144-76-3196",\N,"0530832","苫小牧市桜木町4丁目20番1号","苫小牧市","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"40台","1","2021-04-01 00:00:00","0",\N,"","141.558350","42.632950","4","on","on","1012","4",\N,"https://www.bigban.jp/bb-sakuragi/","1","0",\N
"1013","千歳信濃店","shinano","1","1","1","1","bigban-chitose@okamoto-group.co.jp","0123-40-3196",\N,"0660038","千歳市信濃3丁目5-1","千歳市","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"52台","1","2021-04-01 00:00:00","0",\N,"","141.636627","42.838001","4","on","on","1013","4",\N,"https://www.bigban.jp/bb-shinano/","1","0",\N
"1014","静内店","shizunai","1","1","1","1","bb-shizunai-shop@okamoto-group.co.jp","0146-42-3196",\N,"0560025","日高郡新ひだか町静内木場町1丁目1番100号","日高郡","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"45台","1","2021-04-01 00:00:00","0",\N,"","142.359146","42.341881","4","on","on","1014","4",\N,"https://www.bigban.jp/bb-shizunai/","1","0",\N
"1015","伊達店","date","1","1","1","1","bigban-date@okamoto-group.co.jp","0142-21-3196",\N,"0520022","伊達市梅本町50-10","伊達市","","10:00","20:00","19:00",\N,\N,\N,\N,"",\N,"25台","1","2021-04-01 00:00:00","0",\N,"","140.873123","42.470581","4","on","on","1015","4",\N,"https://www.bigban.jp/bb-date/","1","0",\N
